Feature,Gain
lblt_rate,0.13257457315921783
quck_rate,0.11962874233722687
crnt_rate,0.10065451264381409
acml_tr_pbmn_x,0.03900568187236786
prdy_vrss_x,0.03308238834142685
acml_vol_x,0.030428674072027206
ntin_inrt,0.018164215609431267
totl_aset_inrt,0.01802859455347061
fxas,0.016100676730275154
fix_lblt,0.01438817847520113
total_aset,0.014318043366074562
prdy_vrss_sign_x,0.012945699505507946
roe_val,0.011720502749085426
bram_depn,0.01168066170066595
sale_account,0.011483817361295223
thtr_ntin,0.009999550879001617
op_prfi,0.009484810754656792
bps_x,0.008896348997950554
bsop_prti,0.007509738206863403
sale_totl_rate,0.006598210893571377
sale_ntin_rate,0.006389830727130175
flow_lblt,0.006337128113955259
sale_cost,0.006002743262797594
equt_inrt,0.005986419506371021
total_lblt,0.0056367176584899426
grs,0.004864140879362822
cras,0.0046609193086624146
sale_totl_prfi,0.004464809782803059
sps,0.0043781232088804245
bsop_prfi_inrt,0.004058456048369408
total_cptl,0.0036018139217048883
flng_cls_code,0.0020282736513763666
